,,,,,,,,,,,,,,,,,,Return to contents,,,
Registers of Scotland,,,,,,,,,,,,,,,,,,,,,
Data and statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 3: Average residential property price by local authority, Scotland, 2003-04 to 2021-22, financial year data",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Number (£),
Local authority code,Local authority,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,
,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,"91,736","102,319","116,095","140,803","177,323","173,455","171,834","183,194","185,668","187,619","203,231","217,820","214,690","203,598","200,596","196,230","194,269","187,332","190,727",
S12000034,Aberdeenshire,"100,938","116,768","128,664","154,845","189,125","194,292","191,564","202,707","208,246","205,055","217,840","232,413","227,862","210,124","212,468","212,161","210,722","216,290","224,250",
S12000041,Angus,"85,041","98,275","111,091","128,288","144,331","144,906","140,441","145,082","142,590","142,553","146,338","155,935","154,769","161,152","160,188","165,661","167,423","180,030","180,956",
S12000035,Argyll and Bute,"97,138","113,625","126,928","139,241","157,271","149,514","153,012","155,102","151,507","147,481","146,423","154,488","151,702","154,519","157,336","166,944","172,851","184,101","194,392",
S12000036,City of Edinburgh,"150,285","168,313","176,780","195,725","215,092","212,797","206,923","217,961","217,091","217,114","216,990","235,478","230,967","237,183","253,747","265,856","267,770","286,458","296,517",
S12000005,Clackmannanshire,"78,812","94,985","104,449","126,875","140,997","132,792","132,364","127,105","123,864","126,961","124,425","133,918","131,607","133,792","139,346","146,309","149,760","167,484","167,863",
S12000006,Dumfries and Galloway,"86,855","107,647","115,583","127,630","141,544","142,413","135,851","137,727","135,545","135,836","130,441","137,776","135,902","135,927","140,868","147,581","145,951","159,596","168,312",
S12000042,Dundee City,"72,955","83,258","96,870","112,550","131,186","125,637","126,895","124,153","123,912","124,684","126,766","127,606","129,313","132,907","134,607","141,293","145,477","155,531","164,387",
S12000008,East Ayrshire,"74,001","86,469","96,533","110,060","123,994","125,809","115,651","114,412","118,951","107,489","104,894","109,727","115,683","114,741","124,447","121,469","120,078","130,682","139,093",
