,Rank,Player,Yards
0,1,Tom Brady,88417
1,2,Drew Brees,80358
2,3,Peyton Manning,71940
3,4,Brett Favre,71838
4,5,Ben Roethlisberger,64088
5,6,Philip Rivers,63440
6,7,Matt Ryan,62792
7,8,Dan Marino,61361
8,9,Aaron Rodgers,58453
9,10,Eli Manning,57023
10,11,Matthew Stafford,52082
11,12,John Elway,51475
12,13,Warren Moon,49325
13,14,Fran Tarkenton,47003
14,15,Carson Palmer,46247
15,16,Vinny Testaverde,46233
16,17,Drew Bledsoe,44611
17,18,Dan Fouts,43040
18,19,Joe Flacco,42171
19,20,Kerry Collins,40922
20,21,Joe Montana,40551
21,22,Johnny Unitas,40239
22,23,Russell Wilson,39864
23,24,Dave Krieg,38147
24,25,Boomer Esiason,37920
25,26,Andy Dalton,37774
26,27,Donovan McNabb,37276
27,28,Kirk Cousins,36710
28,29,Matt Hasselbeck,36638
29,30,Alex Smith,35650
30,31,Jim Kelly,35467
31,32,Jay Cutler,35133
32,33,Derek Carr,35048
33,34,Ryan Fitzpatrick,34990
34,34,Jim Everett,34837
35,36,Jim Hart,34665
36,37,Steve DeBerg,34241
37,38,Tony Romo,34183
38,39,John Hadl,33503
39,40,Phil Simms,33462
40,41,Ryan Tannehill,33265
41,42,Steve Young,33124
42,43,Troy Aikman,32942
43,44,Ken Anderson,32838
44,45,Cam Newton,32382
45,46,Kurt Warner,32344
46,47,Sonny Jurgensen,32224
47,48,Mark Brunell,32072
48,49,John Brodie,31548
49,50,Steve McNair,31304
