annual survey of hours and earnings  - resident analysis,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 3 January 2023],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sex,Full Time Workers,,,,,,,,,,,,,,,,,,,,,,
item name,Median,,,,,,,,,,,,,,,,,,,,,,
pay,Weekly pay - gross,,,,,,,,,,,,,,,,,,,,,,
confidence,Standard error as a percentage of the figure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (as of April 2021),,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
,,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
Darlington,E06000005,436.4,7.0,446.1,8.8,479.1,5.5,488.8,6.6,489.8,4.8,502.6,5.9,507.0,6.0,539.1,6.7,487.5,5.8,583.3,6.5,558.2,6.0
County Durham,E06000047,457.8,2.0,466.1,2.7,475.0,2.9,481.1,2.7,488.4,2.7,504.4,3.0,513.1,2.5,544.5,2.9,529.5,3.5,548.5,3.0,574.9,3.4
Hartlepool,E06000001,508.9,7.3,475.4,7.7,466.3,5.4,495.7,7.3,478.0,5.9,502.3,4.9,510.1,5.2,547.2,6.3,552.5,6.7,574.5,5.3,593.7,5.3
Middlesbrough,E06000002,409.9,6.1,421.9,5.1,437.3,4.4,468.6,4.8,478.1,4.3,470.3,4.9,480.4,6.7,502.0,6.7,526.7,7.0,527.6,5.5,555.0,6.4
Northumberland,E06000057,464.4,4.7,479.1,3.5,488.0,4.2,480.0,4.2,487.8,4.6,520.1,4.1,509.0,5.1,535.8,4.6,548.6,4.0,572.1,4.3,601.8,4.0
Redcar and Cleveland,E06000003,438.3,5.6,488.1,6.6,475.3,7.9,506.2,5.4,462.5,6.1,486.0,4.2,478.0,5.1,501.1,5.5,502.0,7.5,503.2,5.9,568.4,6.0
Stockton-on-Tees,E06000004,482.3,4.4,513.7,5.8,506.9,4.3,501.7,5.2,524.2,3.9,520.5,3.9,528.3,5.0,582.8,4.6,559.9,6.2,576.3,5.0,609.4,4.9
Gateshead,E08000037,465.7,4.5,475.2,4.3,486.6,4.9,486.5,4.3,487.3,3.9,495.0,3.5,502.5,3.8,501.4,3.8,499.8,4.5,539.5,4.4,566.7,4.5
Newcastle upon Tyne,E08000021,469.1,4.4,482.8,4.9,484.0,4.5,495.9,3.4,508.8,3.5,532.8,4.2,536.3,4.4,560.3,4.4,544.6,4.8,601.9,5.6,617.2,4.2
North Tyneside,E08000022,454.4,5.8,479.4,4.4,460.8,4.5,503.0,4.9,514.8,4.6,545.5,5.4,542.6,4.8,574.9,5.1,563.2,5.8,575.1,5.7,619.1,4.0
