Date,Region,House Price Index,Average Weekly Wage,FormatDate
2013-01-01,United Kingdom,87.96352364,461,
2013-01-02,United Kingdom,87.94614511,462,
2013-01-03,United Kingdom,88.47010539,456,
2013-01-04,United Kingdom,89.33754346,475,
2013-01-05,United Kingdom,89.80872879,468,
2013-01-06,United Kingdom,90.5538877,467,
2013-01-07,United Kingdom,91.57019948,466,
2013-01-08,United Kingdom,92.29924408,466,
2013-01-09,United Kingdom,92.35983956,466,
2013-01-10,United Kingdom,91.98251248,466,
2013-01-11,United Kingdom,92.49292028,466,
2013-01-12,United Kingdom,93.3420886,468,
2013-01-13,United Kingdom,93.45304911,469,
2013-01-14,United Kingdom,93.84076857,472,
2013-01-15,United Kingdom,94.16353809,461,
2013-01-16,United Kingdom,96.25871422,469,
2013-01-17,United Kingdom,97.2787639,469,
2013-01-18,United Kingdom,98.11845072,470,
2013-01-19,United Kingdom,99.49876176,468,
2013-01-20,United Kingdom,100.6646094,470,
2013-01-21,United Kingdom,100.7726233,473,
2013-01-22,United Kingdom,100.6239445,475,
2013-01-23,United Kingdom,100.285454,475,
2013-01-24,United Kingdom,100.5267755,478,
2013-01-25,United Kingdom,100,476,
2013-01-26,United Kingdom,100.085049,479,
2013-01-27,United Kingdom,100.4575155,480,
2013-01-28,United Kingdom,101.3425525,481,
2013-01-29,United Kingdom,102.43788,482,
2013-01-30,United Kingdom,103.2190061,481,
2013-01-31,United Kingdom,104.9703002,484,
2013-02-01,United Kingdom,105.9310448,484,
2013-02-02,United Kingdom,106.1488952,483,
2013-02-03,United Kingdom,106.293447,484,
2013-02-04,United Kingdom,107.1110571,484,
2013-02-05,United Kingdom,107.476627,487,
2013-02-06,United Kingdom,107.7619676,489,
2013-02-07,United Kingdom,107.8097556,486,
2013-02-08,United Kingdom,108.9173311,492,
2013-02-09,United Kingdom,109.3243607,493,
2013-02-10,United Kingdom,110.5984228,493,
2013-02-11,United Kingdom,111.6547846,493,
2013-02-12,United Kingdom,112.829855,496,
2013-02-13,United Kingdom,112.8392873,495,
2013-02-14,United Kingdom,112.6668774,495,
2013-02-15,United Kingdom,112.2948097,497,
2013-02-16,United Kingdom,112.8225539,498,
2013-02-17,United Kingdom,113.0254097,496,
2013-02-18,United Kingdom,112.8904772,497,
2013-02-19,United Kingdom,113.12907,499,
2013-02-20,United Kingdom,112.8872191,502,
2013-02-21,United Kingdom,114.6732025,502,
2013-02-22,United Kingdom,115.3613565,503,
2013-02-23,United Kingdom,116.3472825,507,
2013-02-24,United Kingdom,117.8607536,504,
2013-02-25,United Kingdom,118.3952151,507,
2013-02-26,United Kingdom,117.9530007,509,
2013-02-27,United Kingdom,118.0564838,508,
2013-02-28,United Kingdom,117.7209981,509,
2013-03-01,United Kingdom,118.1811274,511,
2013-03-02,United Kingdom,117.7687697,510,
2013-03-03,United Kingdom,118.0768678,513,
2013-03-04,United Kingdom,117.3640934,519,
2013-03-05,United Kingdom,118.4854363,513,
2013-03-06,United Kingdom,118.9698875,515,
2013-03-07,United Kingdom,119.7678545,518,
2013-03-08,United Kingdom,121.2530285,520,
2013-03-09,United Kingdom,121.6257692,523,
2013-03-10,United Kingdom,121.3931876,524,
2013-03-11,United Kingdom,121.2657284,530,
2013-03-12,United Kingdom,120.7481048,525,
2013-03-13,United Kingdom,120.4884638,527,
2013-03-14,United Kingdom,119.7464467,529,
2013-03-15,United Kingdom,119.4443311,531,
2013-03-16,United Kingdom,119.1115474,533,
2013-03-17,United Kingdom,119.9745207,533,
2013-03-18,United Kingdom,120.1380376,535,
2013-03-19,United Kingdom,120.6561853,538,
2013-03-20,United Kingdom,122.0036281,541,
2013-03-21,United Kingdom,122.3959345,540,
2013-03-22,United Kingdom,122.4851029,546,
2013-03-23,United Kingdom,122.1616307,542,
2013-03-24,United Kingdom,121.7299961,542,
2013-03-25,United Kingdom,121.5704853,540,
2013-03-26,United Kingdom,121.647906,545,
2013-03-27,United Kingdom,120.9498714,546,
2013-03-28,United Kingdom,122.0380654,542,
2013-03-29,United Kingdom,120.7971199,527,
2013-03-30,United Kingdom,121.4212261,528,
2013-03-31,United Kingdom,123.0972213,530,
2013-04-01,United Kingdom,124.1376241,540,
2013-04-02,United Kingdom,125.3495738,550,
2013-04-03,United Kingdom,126.6836999,557,
2013-04-04,United Kingdom,127.7505349,562,
2013-04-05,United Kingdom,129.0562277,570,
2013-04-06,United Kingdom,130.0624068,567,
2013-04-07,United Kingdom,130.9572342,570,
2013-04-08,United Kingdom,130.9029866,568,
2013-04-09,United Kingdom,132.9586598,559,
2013-04-10,United Kingdom,131.2300359,575,
2013-04-11,United Kingdom,131.7942765,580,
2013-04-12,United Kingdom,139.3418597,576,
2013-04-13,United Kingdom,132.6725988,579,
2013-04-14,United Kingdom,136.5899662,582,
2013-04-15,United Kingdom,141.0868051,584,
2013-04-16,United Kingdom,138.1130014,586,
2013-04-17,United Kingdom,140.3096291,590,
2013-04-18,United Kingdom,140.8383318,600,
2013-04-19,United Kingdom,143.3773616,600,
2013-04-20,United Kingdom,143.5037916,601,
2013-04-21,United Kingdom,144.391888,614,
2013-04-22,United Kingdom,145.798292,604,
2013-04-23,United Kingdom,147.6798262,605,
2013-04-24,United Kingdom,149.2853062,612,
2013-04-25,United Kingdom,152.3235484,613,
2013-04-26,United Kingdom,154.204289,617,
