,location,agegroup,population,totalpop,percentage,weeklywage,area code,rent
0,Adur,25-39,10757,64547,0.16665375617766898,567.3,E07000223,715
1,Allerdale,25-39,15531,96156,0.16151878197928365,656.6,E07000026,395
2,Amber Valley,25-39,21981,126205,0.17416901073650015,626.8,E07000032,428
3,Arun,25-39,26685,164896,0.16182927420919851,546.5,E07000224,660
4,Ashfield,25-39,24460,126305,0.19365820830529273,564.2,E07000170,450
5,Ashford,25-39,25146,132752,0.1894208750150657,668.4,E07000105,750
6,Babergh,25-39,13753,92332,0.14895160940952215,587.5,E07000200,600
7,Barking and Dagenham,25-39,51909,218863,0.23717576748925126,638.2,E09000002,"1,050"
8,Barnet,25-39,89005,389340,0.22860481841064365,735.6,E09000003,"1,150"
9,Barnsley,25-39,48640,244576,0.19887478738715164,562.6,E08000016,425
10,Barrow-in-Furness,25-39,12827,67404,0.1903002789151979,619.8,E07000027,490
11,Basildon,25-39,39402,187576,0.2100588561436431,618.8,E07000066,775
12,Basingstoke and Deane,25-39,38846,185148,0.20981052995441485,720.0,E07000084,750
13,Bassetlaw,25-39,20976,117804,0.17805847000101865,560.7,E07000171,393
14,Bath and North East Somerset,25-39,34069,193406,0.17615275637777525,699.0,E06000022,850
15,Bedford,25-39,38745,185228,0.209174638823504,638.2,E06000055,650
16,Bexley,25-39,49701,246473,0.20164886214717231,780.6,E09000004,925
17,Birmingham,25-39,248068,1144916,0.2166691704893634,591.5,E08000025,650
18,Blaby,25-39,19851,102933,0.19285360380053043,650.5,E07000129,495
19,Blackburn with Darwen,25-39,31498,154735,0.20356092674572657,542.5,E06000008,425
20,Blackpool,25-39,26594,141033,0.18856579665751988,486.3,E06000009,412
21,Bolsover,25-39,15618,80277,0.19455136589558653,566.7,E07000033,483
22,Bolton,25-39,57751,295961,0.1951304394835806,574.1,E08000001,475
23,Boston,25-39,13728,70503,0.1947151185055955,559.6,E07000136,495
24,"Bournemouth, Christchurch and Poole",25-39,76226,400192,0.19047357268511114,609.0,E06000058,695
25,Bracknell Forest,25-39,26916,124600,0.21601926163723917,729.0,E06000036,850
26,Bradford,25-39,110795,546409,0.2027693540918982,569.6,E08000032,450
27,Braintree,25-39,28748,155267,0.1851520284413301,688.1,E07000067,675
28,Breckland,25-39,24410,141478,0.1725356592544424,593.7,E07000143,550
29,Brent,25-39,86847,339818,0.255569157607896,678.6,E09000005,"1,170"
30,Brentwood,25-39,14894,77045,0.1933155947822701,822.6,E07000068,895
31,Brighton and Hove,25-39,60926,277107,0.21986452886430152,640.5,E06000043,900
32,Broadland,25-39,21054,131722,0.15983662562062526,630.5,E07000144,575
33,Bromley,25-39,65541,329989,0.19861571143280535,803.6,E09000006,"1,039"
34,Bromsgrove,25-39,16179,99186,0.16311777871877078,748.4,E07000234,525
35,Broxbourne,25-39,20204,99005,0.20407050148982375,684.8,E07000095,850
36,Broxtowe,25-39,21566,110944,0.1943863570810499,641.5,E07000172,525
37,Buckinghamshire,25-39,100785,553081,0.18222466510330312,717.3,E06000060,800
38,Burnley,25-39,19214,94649,0.20300267303405212,572.4,E07000117,370
39,Bury,25-39,38371,193851,0.19794068640347484,598.7,E08000002,500
40,Calderdale,25-39,37953,206627,0.1836788028670019,576.9,E08000033,425
41,Cambridge,25-39,40327,145676,0.2768266564156072,748.6,E07000008,"1,000"
42,Camden,25-39,59091,210134,0.28120627789886454,771.0,E09000007,"1,550"
43,Cannock Chase,25-39,20222,100529,0.20115588536641169,574.9,E07000192,433
44,Canterbury,25-39,25413,157431,0.16142309964365342,658.8,E07000106,725
45,Carlisle,25-39,20567,110025,0.18693024312656215,577.7,E07000028,395
46,Castle Point,25-39,14834,89591,0.16557466709825763,660.6,E07000069,750
47,Central Bedfordshire,25-39,59932,294251,0.2036764530961662,739.5,E06000056,695
48,Charnwood,25-39,34364,183978,0.18678320233941015,619.6,E07000130,500
49,Chelmsford,25-39,36137,181527,0.19907231431136965,689.9,E07000070,850
50,Cheltenham,25-39,24647,118833,0.2074087164339872,724.0,E07000078,625
51,Cherwell,25-39,34818,161013,0.21624340891729238,689.9,E07000177,780
52,Cheshire East,25-39,70620,398771,0.1770941216888891,662.3,E06000049,495
53,Cheshire West and Chester,25-39,66054,357150,0.184947501049979,645.8,E06000050,550
54,Chesterfield,25-39,19187,103569,0.1852581370873524,598.5,E07000034,465
55,Chichester,25-39,18955,124068,0.15277912112712383,645.0,E07000225,750
56,Chorley,25-39,22066,117731,0.18742727064239664,649.8,E07000118,450
57,City of London,25-39,2937,8579,0.3423475929595524,#,E09000001,"1,712"
58,Colchester,25-39,38989,192716,0.20231324851076196,699.7,E07000071,675
59,Copeland,25-39,11485,67063,0.17125687786111568,706.8,E07000029,428
60,Cornwall,25-39,90906,570304,0.15939919762091798,571.4,E06000052,550
61,Cotswold,25-39,13452,90834,0.14809432591320432,669.7,E07000079,685
62,County Durham,25-39,90505,522062,0.17336063532683857,574.9,E06000047,375
63,Coventry,25-39,74104,345328,0.21459018672103045,630.6,E08000026,615
64,Craven,25-39,8124,56923,0.14271911178258348,582.0,E07000163,475
65,Crawley,25-39,28399,118495,0.23966412084898098,670.7,E07000226,830
66,Croydon,25-39,90292,390718,0.23109250149724353,760.7,E09000008,950
67,Dacorum,25-39,31080,155082,0.20041010562154216,691.1,E07000096,850
68,Darlington,25-39,19909,107807,0.18467260938529037,558.2,E06000005,395
69,Dartford,25-39,27412,116756,0.23478022542738702,732.1,E07000107,850
70,Derby,25-39,54964,261354,0.21030479732470136,599.2,E06000015,475
71,Derbyshire Dales,25-39,9337,71536,0.13052169537016328,671.4,E07000035,485
72,Doncaster,25-39,62154,308108,0.20172796551858438,594.3,E08000017,412
73,Dorset,25-39,53411,379578,0.14071152701157602,608.0,E06000059,610
74,Dover,25-39,20056,116407,0.17229204429286898,670.3,E07000108,530
75,Dudley,25-39,62024,323495,0.19173093865438415,615.4,E08000027,483
76,Ealing,25-39,90448,367122,0.2463704163738485,711.7,E09000009,"1,225"
77,East Cambridgeshire,25-39,15988,87762,0.1821745174449078,637.8,E07000009,643
78,East Devon,25-39,21891,150821,0.145145569914004,628.4,E07000040,550
79,East Hampshire,25-39,19918,125741,0.15840497530638376,696.4,E07000085,705
80,East Hertfordshire,25-39,28116,150160,0.1872402770378263,858.5,E07000242,850
81,East Lindsey,25-39,19721,142292,0.1385952829393079,553.8,E07000137,395
82,East Riding of Yorkshire,25-39,52866,342217,0.1544809287674195,633.9,E06000011,400
83,East Staffordshire,25-39,24914,124019,0.2008885735250244,600.6,E07000193,495
84,East Suffolk,25-39,36780,246055,0.1494787750706143,596.7,E07000244,445
85,Eastbourne,25-39,17688,101685,0.1739489600236023,630.6,E07000061,700
86,Eastleigh,25-39,27110,136446,0.19868665992407253,690.0,E07000086,695
87,Eden,25-39,8141,54734,0.14873753060255052,580.7,E07000030,475
88,Elmbridge,25-39,22679,138757,0.1634440064285045,810.0,E07000207,950
89,Enfield,25-39,68279,329986,0.2069148388113435,708.8,E09000010,"1,025"
90,Epping Forest,25-39,25433,134981,0.18841911083782162,767.4,E07000072,900
91,Epsom and Ewell,25-39,14388,80939,0.1777635009080913,756.7,E07000208,"1,048"
92,Erewash,25-39,21509,112902,0.19051035411241607,629.0,E07000036,490
93,Exeter,25-39,26450,130712,0.2023532651937083,628.0,E07000041,675
94,Fareham,25-39,18864,114503,0.16474677519366304,683.2,E07000087,695
95,Fenland,25-39,18887,102457,0.18434074782591722,593.8,E07000010,500
96,Folkestone and Hythe,25-39,17959,109754,0.16362957158736813,684.3,E07000112,500
97,Forest of Dean,25-39,13753,87006,0.1580695584212583,729.4,E07000080,475
98,Fylde,25-39,12502,81380,0.15362496927992136,631.0,E07000119,450
99,Gateshead,25-39,38845,196144,0.19804327432906435,566.7,E08000037,450
100,Gedling,25-39,21925,117258,0.18698084565658632,587.3,E07000173,513
101,Gloucester,25-39,27849,132409,0.21032558209789365,569.2,E07000081,580
102,Gosport,25-39,15182,81955,0.18524800195229088,619.2,E07000088,625
103,Gravesham,25-39,21680,106899,0.20280825826247206,660.9,E07000109,715
104,Great Yarmouth,25-39,17283,99743,0.173275317566145,593.0,E07000145,450
105,Greenwich,25-39,78363,289067,0.2710894014190482,746.8,E09000011,"1,200"
106,Guildford,25-39,25883,143646,0.18018601283711347,815.1,E07000209,948
107,Hackney,25-39,87095,259148,0.3360820843687777,790.1,E09000012,"1,350"
108,Halton,25-39,25018,128475,0.1947304923136797,609.5,E06000006,415
109,Hambleton,25-39,13500,90691,0.148857108202578,593.1,E07000164,470
110,Hammersmith and Fulham,25-39,57590,183161,0.3144228301876491,821.1,E09000013,"1,400"
111,Harborough,25-39,16149,97631,0.16540852802900718,653.0,E07000131,563
112,Haringey,25-39,73509,264234,0.27819659846953837,713.1,E09000014,"1,250"
113,Harlow,25-39,21627,93334,0.23171620202712837,584.7,E07000073,825
114,Harrogate,25-39,25862,162666,0.1589883565096578,651.6,E07000165,580
115,Harrow,25-39,60055,261203,0.22991696113750607,798.8,E09000015,"1,075"
116,Hart,25-39,17237,99409,0.17339476304962329,808.4,E07000089,800
117,Hartlepool,25-39,16842,92334,0.1824030151406849,593.7,E06000001,400
118,Hastings,25-39,17043,91006,0.18727336659121377,532.0,E07000062,595
119,Havant,25-39,21373,124207,0.17207564791034322,574.6,E07000090,700
120,Havering,25-39,55422,262057,0.21148834032290684,709.1,E09000016,925
121,Hertsmere,25-39,20557,107822,0.19065682328281797,644.9,E07000098,950
122,High Peak,25-39,15456,90930,0.16997690531177828,587.0,E07000037,495
123,Hillingdon,25-39,69375,305916,0.22677793904208998,761.9,E09000017,975
124,Hinckley and Bosworth,25-39,20922,113640,0.18410770855332628,612.8,E07000132,525
125,Horsham,25-39,24575,146776,0.16743200523246307,702.4,E07000227,850
126,Hounslow,25-39,71619,288181,0.24852089485427561,700.5,E09000018,"1,150"
127,Huntingdonshire,25-39,34952,180832,0.19328437444700053,642.0,E07000011,625
128,Hyndburn,25-39,16202,82236,0.19701833746777567,574.9,E07000120,395
129,Ipswich,25-39,30874,139644,0.22109077368164762,593.3,E07000202,600
130,Isle of Wight,25-39,20799,140460,0.14807774455360956,534.8,E06000046,525
131,Isles of Scilly,25-39,348,2058,0.16909620991253643,#,E06000053,500
132,Islington,25-39,75068,216587,0.3465951326718593,806.5,E09000019,"1,430"
133,Kensington and Chelsea,25-39,35710,143376,0.2490653944872224,812.8,E09000020,"1,798"
