,location,agegroup,population,totalpop,percentage,weeklywage,area code,rent,prop
0,Adur,0-24,16777,64547,0.259919129,567.3,E07000223,715,0.290851401
1,Allerdale,0-24,23648,96156,0.245933691,656.6,E07000026,395,0.138827058
2,Amber Valley,0-24,31923,126205,0.252945604,626.8,E07000032,428,0.157576948
3,Arun,0-24,38842,164896,0.235554531,546.5,E07000224,660,0.278696601
4,Ashfield,0-24,35045,126305,0.277463283,564.2,E07000170,450,0.184059117
5,Ashford,0-24,38261,132752,0.288214114,668.4,E07000105,750,0.258942135
6,Babergh,0-24,22668,92332,0.24550535,587.5,E07000200,600,0.235679214
7,Barking and Dagenham,0-24,82177,218863,0.375472327,638.2,E09000002,"1,050",0.379673601
8,Barnet,0-24,119024,389340,0.305707094,735.6,E09000003,"1,150",0.360772995
9,Barnsley,0-24,66883,244576,0.273465099,562.6,E08000016,425,0.174327983
10,Barrow-in-Furness,0-24,18005,67404,0.267120646,619.8,E07000027,490,0.182440986
11,Basildon,0-24,56534,187576,0.301392502,618.8,E07000066,775,0.289020934
12,Basingstoke and Deane,0-24,51649,185148,0.278960615,720,E07000084,750,0.240384615
13,Bassetlaw,0-24,30652,117804,0.2601949,560.7,E07000171,393,0.161748364
14,Bath and North East Somerset,0-24,63034,193406,0.325915432,699,E06000022,850,0.280620667
15,Bedford,0-24,55197,185228,0.297994904,638.2,E06000055,650,0.235036039
16,Bexley,0-24,75285,246473,0.305449278,780.6,E09000004,925,0.273458287
17,Birmingham,0-24,419030,1144916,0.365991916,591.5,E08000025,650,0.253592561
18,Blaby,0-24,28197,102933,0.273935473,650.5,E07000129,495,0.175604565
19,Blackburn with Darwen,0-24,53255,154735,0.344169063,542.5,E06000008,425,0.180786955
20,Blackpool,0-24,37967,141033,0.269206498,486.3,E06000009,412,0.195510843
21,Bolsover,0-24,21166,80277,0.26366207,566.7,E07000033,483,0.196685263
22,Bolton,0-24,94666,295961,0.319859711,574.1,E08000001,475,0.190934305
23,Boston,0-24,19473,70503,0.276201013,559.6,E07000136,495,0.204129323
24,"Bournemouth, Christchurch and Poole",0-24,110615,400192,0.276404826,609,E06000058,695,0.263357332
25,Bracknell Forest,0-24,36504,124600,0.292969502,729,E06000036,850,0.269072491
26,Bradford,0-24,187915,546409,0.34390905,569.6,E08000032,450,0.182314175
27,Braintree,0-24,42528,155267,0.273902375,688.1,E07000067,675,0.226375862
28,Breckland,0-24,35574,141478,0.251445454,593.7,E07000143,550,0.213783185
29,Brent,0-24,105886,339818,0.311596207,678.6,E09000005,"1,170",0.397877984
30,Brentwood,0-24,20879,77045,0.270997469,822.6,E07000068,895,0.251080065
31,Brighton and Hove,0-24,84663,277107,0.305524581,640.5,E06000043,900,0.324265898
32,Broadland,0-24,31789,131722,0.241334022,630.5,E07000144,575,0.210455682
33,Bromley,0-24,92933,329989,0.281624539,803.6,E09000006,"1,039",0.298368879
34,Bromsgrove,0-24,26494,99186,0.26711431,748.4,E07000234,525,0.161883814
35,Broxbourne,0-24,29074,99005,0.293661936,684.8,E07000095,850,0.286439612
36,Broxtowe,0-24,29373,110944,0.264755192,641.5,E07000172,525,0.188860243
37,Buckinghamshire,0-24,159305,553081,0.288031952,717.3,E06000060,800,0.257375414
38,Burnley,0-24,28852,94649,0.304831535,572.4,E07000117,370,0.149169489
39,Bury,0-24,57276,193851,0.295464042,598.7,E08000002,500,0.192725264
40,Calderdale,0-24,59160,206627,0.286313018,576.9,E08000033,425,0.1700068
41,Cambridge,0-24,51532,145676,0.353743925,748.6,E07000008,"1,000",0.308267741
42,Camden,0-24,64201,210134,0.305524094,771,E09000007,"1,550",0.463932954
43,Cannock Chase,0-24,27282,100529,0.271384377,574.9,E07000192,433,0.173809492
44,Canterbury,0-24,51318,157431,0.325971378,658.8,E07000106,725,0.253958246
45,Carlisle,0-24,28919,110025,0.262840264,577.7,E07000028,395,0.157787513
46,Castle Point,0-24,23365,89591,0.260796285,660.6,E07000069,750,0.261999581
47,Central Bedfordshire,0-24,82947,294251,0.28189199,739.5,E06000056,695,0.216882509
48,Charnwood,0-24,58733,183978,0.319239257,619.6,E07000130,500,0.186224363
49,Chelmsford,0-24,50503,181527,0.278212057,689.9,E07000070,850,0.284322143
50,Cheltenham,0-24,33727,118833,0.283818468,724,E07000078,625,0.19921377
51,Cherwell,0-24,44791,161013,0.278182507,689.9,E07000177,780,0.260907378
52,Cheshire East,0-24,102226,398771,0.256352643,662.3,E06000049,495,0.172475871
53,Cheshire West and Chester,0-24,96228,357150,0.269433011,645.8,E06000050,550,0.196536198
54,Chesterfield,0-24,26720,103569,0.257992256,598.5,E07000034,465,0.17929439
55,Chichester,0-24,31139,124068,0.250983332,645,E07000225,750,0.268336315
56,Chorley,0-24,31233,117731,0.265291215,649.8,E07000118,450,0.159812487
57,City of London,0-24,1730,8579,0.201655205,#,E09000001,"1,712",#VALUE!
58,Colchester,0-24,59377,192716,0.308106229,699.7,E07000071,675,0.222622882
59,Copeland,0-24,16773,67063,0.250108107,706.8,E07000029,428,0.139741413
60,Cornwall,0-24,144871,570304,0.25402417,571.4,E06000052,550,0.222126491
61,Cotswold,0-24,21948,90834,0.241627584,669.7,E07000079,685,0.236041396
62,County Durham,0-24,146893,522062,0.281370795,574.9,E06000047,375,0.150527851
63,Coventry,0-24,121508,345328,0.351862577,630.6,E08000026,615,0.225060382
64,Craven,0-24,12972,56923,0.227886794,582,E07000163,475,0.188342585
65,Crawley,0-24,36602,118495,0.30889067,670.7,E07000226,830,0.285579934
66,Croydon,0-24,119553,390718,0.305982832,760.7,E09000008,950,0.288196095
67,Dacorum,0-24,44620,155082,0.287718755,691.1,E07000096,850,0.283828456
68,Darlington,0-24,29664,107807,0.275158385,558.2,E06000005,395,0.163299617
69,Dartford,0-24,36440,116756,0.312103875,732.1,E07000107,850,0.267933132
70,Derby,0-24,83972,261354,0.32129602,599.2,E06000015,475,0.182936223
71,Derbyshire Dales,0-24,15998,71536,0.223635652,671.4,E07000035,485,0.166701038
72,Doncaster,0-24,86036,308108,0.279239747,594.3,E08000017,412,0.159981361
73,Dorset,0-24,87961,379578,0.231733662,608,E06000059,610,0.23152834
74,Dover,0-24,30315,116407,0.260422483,670.3,E07000108,530,0.182467093
75,Dudley,0-24,92041,323495,0.284520626,615.4,E08000027,483,0.181120472
76,Ealing,0-24,111833,367122,0.304620807,711.7,E09000009,"1,225",0.397207121
77,East Cambridgeshire,0-24,23427,87762,0.266937855,637.8,E07000009,643,0.232650698
78,East Devon,0-24,35220,150821,0.233521857,628.4,E07000040,550,0.201978162
79,East Hampshire,0-24,32627,125741,0.259477816,696.4,E07000085,705,0.233619052
80,East Hertfordshire,0-24,42221,150160,0.281173415,858.5,E07000242,850,0.228484387
81,East Lindsey,0-24,31723,142292,0.222942962,553.8,E07000137,395,0.16459705
82,East Riding of Yorkshire,0-24,81675,342217,0.238664356,633.9,E06000011,400,0.145618697
83,East Staffordshire,0-24,35323,124019,0.284819262,600.6,E07000193,495,0.190194421
84,East Suffolk,0-24,59667,246055,0.242494564,596.7,E07000244,445,0.172100398
85,Eastbourne,0-24,26594,101685,0.261533166,630.6,E07000061,700,0.256166289
86,Eastleigh,0-24,37862,136446,0.277487064,690,E07000086,695,0.232441472
87,Eden,0-24,12449,54734,0.227445464,580.7,E07000030,475,0.188764224
88,Elmbridge,0-24,40712,138757,0.293405017,810,E07000207,950,0.270655271
89,Enfield,0-24,108571,329986,0.329016989,708.8,E09000010,"1,025",0.333716791
90,Epping Forest,0-24,37380,134981,0.276927864,767.4,E07000072,900,0.270644133
91,Epsom and Ewell,0-24,23876,80939,0.294987583,756.7,E07000208,"1,048",0.319606388
92,Erewash,0-24,29616,112902,0.262315991,629,E07000036,490,0.179772533
93,Exeter,0-24,46318,130712,0.354351552,628,E07000041,675,0.248040176
94,Fareham,0-24,28545,114503,0.249294778,683.2,E07000087,695,0.234754999
95,Fenland,0-24,26675,102457,0.260353124,593.8,E07000010,500,0.19431562
96,Folkestone and Hythe,0-24,27551,109754,0.25102502,684.3,E07000112,500,0.168617003
97,Forest of Dean,0-24,22167,87006,0.254775533,729.4,E07000080,475,0.15028158
98,Fylde,0-24,18258,81380,0.224354878,631,E07000119,450,0.164573936
99,Gateshead,0-24,52837,196144,0.26937862,566.7,E08000037,450,0.183247139
100,Gedling,0-24,30555,117258,0.260579236,587.3,E07000173,513,0.201574349
101,Gloucester,0-24,40074,132409,0.302653143,569.2,E07000081,580,0.235147846
102,Gosport,0-24,22306,81955,0.272173754,619.2,E07000088,625,0.232930829
103,Gravesham,0-24,32707,106899,0.305961702,660.9,E07000109,715,0.249659555
104,Great Yarmouth,0-24,26129,99743,0.261963246,593,E07000145,450,0.17511999
105,Greenwich,0-24,90273,289067,0.312290922,746.8,E09000011,"1,200",0.370812904
106,Guildford,0-24,46678,143646,0.324951617,815.1,E07000209,948,0.268395572
107,Hackney,0-24,79429,259148,0.306500533,790.1,E09000012,"1,350",0.394302571
108,Halton,0-24,36766,128475,0.286172407,609.5,E06000006,415,0.157127532
109,Hambleton,0-24,20925,90691,0.230728518,593.1,E07000164,470,0.182872262
110,Hammersmith and Fulham,0-24,52071,183161,0.28429087,821.1,E09000013,"1,400",0.393468424
111,Harborough,0-24,25740,97631,0.263645768,653,E07000131,563,0.198963364
112,Haringey,0-24,76179,264234,0.288301278,713.1,E09000014,"1,250",0.404517653
113,Harlow,0-24,29113,93334,0.311922772,584.7,E07000073,825,0.325610767
114,Harrogate,0-24,41560,162666,0.25549285,651.6,E07000165,580,0.205411531
115,Harrow,0-24,78486,261203,0.300478938,798.8,E09000015,"1,075",0.310561997
