Date,GRA Purchases,PRGT 1/2/,Totals,Year,Full Date,Total_Billion,GDP
12/31/2021,89474552025,14554823681,1.04029E+11,2021,2021-31-12,104.0293757,3186859739185.00
12/31/2020,93408630285,12481816684,1.0589E+11,2020,2020-31-12,105.890447,2756900214107.30
12/31/2019,66945509865,6590835450,73536345315,2019,2019-31-12,73.53634532,2878673912414.40
12/31/2018,55395611392,6426181029,61821792421,2018,2018-31-12,61.82179242,2900791442554.10
12/31/2017,39585385873,6522280669,46107666542,2017,2017-31-12,46.10766654,2699016715111.40
12/31/2016,49267630851,6482647937,55750278788,2016,2016-31-12,55.75027879,2722851958486.20
12/31/2015,50757840741,6575911158,57333751899,2015,2015-31-12,57.3337519,2956573778737.80
12/31/2014,69041563463,6292755583,75334319046,2014,2014-31-12,75.33431905,3087165602962.90
12/31/2013,83899249061,6174392682,90073641743,2013,2013-31-12,90.07364174,2803291406029.90
12/31/2012,90042348252,5766292503,95808640755,2012,2012-31-12,95.80864076,2719158341005.80
12/31/2011,87276915790,5308609594,92585525384,2011,2011-31-12,92.58552538,2674891473843.80
12/31/2010,55620104510,4819344134,60439448644,2010,2010-31-12,60.43944864,2491110093454.20
12/31/2009,37221142436,5079705286,42300847722,2009,2009-31-12,42.30084772,2425798410967.40
12/31/2008,17514964723,3972372030,21487336753,2008,2008-31-12,21.48733675,2938882352941.20
12/31/2007,6036146757,3796945581,9833092338,2007,2007-31-12,9.833092338,3106182472989.20
12/31/2006,9822640239,3844020520,13666660759,2006,2006-31-12,13.66666076,2717059797608.10
12/31/2005,28432143237,6282121668,34714264905,2005,2005-31-12,34.71426491,2544829090909.10
12/31/2004,55373766674,6766029353,62139796027,2004,2004-31-12,62.13979603,2421814353716.60
12/31/2003,65032062712,6880893268,71912955980,2003,2003-31-12,71.91295598,2057093877551.00
12/31/2002,63601058794,6868671012,70469729806,2002,2002-31-12,70.46972981,1784076738609.10
12/31/2001,53477225409,6424578684,59901804093,2001,2001-31-12,59.90180409,1643908161796.50
12/31/2000,42990531049,6331595468,49322126517,2000,2000-31-12,49.32212652,1662127402027.50
12/31/1999,51061861875,6434274362,57496136237,1999,1999-31-12,57.49613624,1685762821549.90
12/31/1998,60451017051,6288825925,66739842976,1998,1998-31-12,66.73984298,1653391851606.50
12/31/1997,46559033783,6009867422,52568901205,1997,1997-31-12,52.56890121,1559569417157.80
12/31/1996,36127472805,5881609752,42009082557,1996,1996-31-12,42.00908256,1421514820592.80
12/31/1995,35929173412,5657438528,41586611940,1995,1995-31-12,41.58661194,1346422597443.60
12/31/1994,25611676952,4599768498,30211445450,1994,1994-31-12,30.21144545,1140489745944.30
12/31/1993,25196745031,3942792899,29139537930,1993,1993-31-12,29.13953793,1061388722255.50
12/31/1992,23967172718,3804463796,27771636514,1992,1992-31-12,27.77163651,1179659529659.50
12/31/1991,23378573926,3285717796,26664291722,1991,1991-31-12,26.66429172,1142797178130.50
12/31/1990,20731851093,2571911617,23303762710,1990,1990-31-12,23.30376271,1093169389204.60
12/31/1989,22315104224,2334886562,24649990786,1989,1989-31-12,24.64999079,926884816753.93
12/31/1988,24750004884,1773964293,26523969177,1988,1988-31-12,26.52396918,910122732123.80
12/31/1987,28751979125,1866342930,30618322055,1987,1987-31-12,30.61832206,745162608269.33
12/31/1986,33334905644,2013169931,35348075575,1986,1986-31-12,35.34807558,601452653180.89
12/31/1985,35194787249,2470247948,37665035197,1985,1985-31-12,37.6650352,489285164271.05
12/31/1984,34936772393,2769874900,37706647293,1984,1984-31-12,37.70664729,461487097632.35
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,2.06131E+11
,,,,,,,1.92538E+11
,,,,,,,1.69965E+11
,,,,,,,1.48114E+11
,,,,,,,1.30672E+11
,,,,,,,1.16465E+11
,,,,,,,1.0776E+11
,,,,,,,1.13117E+11
,,,,,,,1.08573E+11
,,,,,,,1.01825E+11
,,,,,,,94407558351
,,,,,,,86561961812
,,,,,,,81247564157
,,,,,,,77741965703
,,,,,,,73233967692
